Ticker,close,date,high,low,month,open,volume,sector
TATAMOTORS,958.05,2024-02-28 05:30:00,976.0,950.3,2024-02,966.15,15219187,AUTOMOBILES
TATAMOTORS,950.2,2024-02-29 05:30:00,959.25,942.9,2024-02,959.0,10346657,AUTOMOBILES
TATAMOTORS,977.4,2024-03-01 05:30:00,980.4,956.7,2024-03,958.95,10645369,AUTOMOBILES
TATAMOTORS,988.35,2024-03-02 05:30:00,992.6,981.55,2024-03,987.0,1783565,AUTOMOBILES
TATAMOTORS,987.2,2024-03-04 05:30:00,995.0,980.1,2024-03,993.25,6084495,AUTOMOBILES
TATAMOTORS,1021.9,2024-03-05 05:30:00,1065.6,1005.35,2024-03,1027.0,59811033,AUTOMOBILES
TATAMOTORS,1017.65,2024-03-06 05:30:00,1030.65,1009.0,2024-03,1025.0,14214823,AUTOMOBILES
TATAMOTORS,1039.3,2024-03-07 05:30:00,1047.0,1014.05,2024-03,1025.0,16877082,AUTOMOBILES
TATAMOTORS,1028.0,2024-03-11 05:30:00,1035.95,1021.0,2024-03,1034.75,7502450,AUTOMOBILES
TATAMOTORS,1016.5,2024-03-12 05:30:00,1037.0,1011.3,2024-03,1027.8,8763820,AUTOMOBILES
TATAMOTORS,973.2,2024-03-13 05:30:00,1021.0,963.55,2024-03,1019.0,16564155,AUTOMOBILES
TATAMOTORS,967.75,2024-03-14 05:30:00,982.0,955.4,2024-03,964.95,22931801,AUTOMOBILES
TATAMOTORS,945.85,2024-03-15 05:30:00,979.75,940.0,2024-03,968.4,23390913,AUTOMOBILES
TATAMOTORS,972.45,2024-03-18 05:30:00,974.8,936.65,2024-03,945.85,12121719,AUTOMOBILES
TATAMOTORS,957.75,2024-03-19 05:30:00,970.6,951.6,2024-03,968.55,9483750,AUTOMOBILES
TATAMOTORS,940.45,2024-03-20 05:30:00,965.15,921.2,2024-03,960.9,13900321,AUTOMOBILES
TATAMOTORS,964.9,2024-03-21 05:30:00,969.25,946.0,2024-03,951.0,11074207,AUTOMOBILES
TATAMOTORS,979.8,2024-03-22 05:30:00,986.2,950.35,2024-03,964.9,13638296,AUTOMOBILES
TATAMOTORS,986.2,2024-03-26 05:30:00,995.0,976.0,2024-03,977.0,9461531,AUTOMOBILES
TATAMOTORS,978.65,2024-03-27 05:30:00,995.0,976.7,2024-03,991.6,6640537,AUTOMOBILES
TATAMOTORS,992.8,2024-03-28 05:30:00,999.9,979.0,2024-03,982.5,9862996,AUTOMOBILES
TATAMOTORS,992.25,2024-04-01 05:30:00,1009.85,987.45,2024-04,1000.0,8629407,AUTOMOBILES
TATAMOTORS,1004.65,2024-04-02 05:30:00,1008.0,993.4,2024-04,999.0,7995931,AUTOMOBILES
TATAMOTORS,1009.15,2024-04-03 05:30:00,1014.45,992.55,2024-04,1004.0,8040366,AUTOMOBILES
TATAMOTORS,1011.6,2024-04-04 05:30:00,1017.0,998.15,2024-04,1016.0,9138276,AUTOMOBILES
TATAMOTORS,1007.1,2024-04-05 05:30:00,1012.5,1004.4,2024-04,1011.6,4519120,AUTOMOBILES
TATAMOTORS,1013.2,2024-04-08 05:30:00,1016.4,1004.0,2024-04,1010.05,5188052,AUTOMOBILES
TATAMOTORS,1008.5,2024-04-09 05:30:00,1029.5,1005.0,2024-04,1021.0,8539041,AUTOMOBILES
TATAMOTORS,1013.5,2024-04-10 05:30:00,1021.0,1010.0,2024-04,1012.25,4554077,AUTOMOBILES
TATAMOTORS,1018.5,2024-04-12 05:30:00,1029.0,1013.5,2024-04,1014.0,11575194,AUTOMOBILES
TATAMOTORS,998.8,2024-04-15 05:30:00,1006.95,978.5,2024-04,998.1,12632409,AUTOMOBILES
TATAMOTORS,992.8,2024-04-16 05:30:00,1004.9,982.1,2024-04,990.0,9574762,AUTOMOBILES
TATAMOTORS,971.35,2024-04-18 05:30:00,1003.1,966.25,2024-04,996.35,13540490,AUTOMOBILES
TATAMOTORS,963.2,2024-04-19 05:30:00,967.95,944.0,2024-04,964.0,15381310,AUTOMOBILES
TATAMOTORS,973.55,2024-04-22 05:30:00,978.75,966.0,2024-04,978.75,7187959,AUTOMOBILES
TATAMOTORS,986.75,2024-04-23 05:30:00,994.5,974.05,2024-04,976.0,7994116,AUTOMOBILES
TATAMOTORS,991.65,2024-04-24 05:30:00,995.9,988.0,2024-04,992.4,4671450,AUTOMOBILES
TATAMOTORS,1001.25,2024-04-25 05:30:00,1003.3,989.5,2024-04,992.5,8366455,AUTOMOBILES
TATAMOTORS,999.5,2024-04-26 05:30:00,1008.95,996.6,2024-04,1007.8,7937500,AUTOMOBILES
TATAMOTORS,1000.6,2024-04-29 05:30:00,1005.75,999.0,2024-04,1003.05,4764750,AUTOMOBILES
TATAMOTORS,1007.9,2024-04-30 05:30:00,1019.45,997.5,2024-04,1005.0,9047011,AUTOMOBILES
TATAMOTORS,1027.8,2024-05-02 05:30:00,1030.0,1011.55,2024-05,1020.0,12695047,AUTOMOBILES
TATAMOTORS,1013.4,2024-05-03 05:30:00,1040.2,996.0,2024-05,1038.0,11871773,AUTOMOBILES
TATAMOTORS,1016.2,2024-05-06 05:30:00,1019.8,1005.0,2024-05,1015.0,5724760,AUTOMOBILES
TATAMOTORS,988.55,2024-05-07 05:30:00,1017.95,982.05,2024-05,1016.2,8877426,AUTOMOBILES
TATAMOTORS,1012.1,2024-05-08 05:30:00,1015.0,977.0,2024-05,986.95,7519352,AUTOMOBILES
TATAMOTORS,1030.3,2024-05-09 05:30:00,1043.2,1007.3,2024-05,1011.0,19189798,AUTOMOBILES
